RUNWAY_NAME,SARAJEVO1
18.317108,43.829803
18.345801,43.819062
18.346038,43.819403
18.317376,43.830153
RUNWAY_NAME,SARJEVO2
18.33839271149821,43.82487856563112
18.33431002285981,43.8264138363993
18.33383469222074,43.82569195811654
18.331678416428,43.8251670170405
18.33047762670253,43.82523583300888
18.33174040020745,43.82474849284639
18.33172822249263,43.82498940625764
18.33337135247231,43.82546971516931
18.33370796248651,43.82546441336685
18.33624144484532,43.82445736335799
18.33683706913848,43.82306874855634
18.33665927367323,43.82294465303217
18.33711000462827,43.82274117746424
18.3373384872691,43.82276764377211
18.33667008636601,43.82411281038733
18.33683568543157,43.82428573278484
18.33791927485335,43.82386698648573
18.33814173895377,43.8240735418327
18.33800230664826,43.82432068151393
RUNWAY_NAME,SARJEVO3
18.33814961474416,43.82406317160715
18.34583117155334,43.82116085137127
18.34616482514212,43.82092589005638
18.34640248703293,43.82063977278791
18.34648095352455,43.82031207599223
18.34645600878234,43.82003323176481
18.34637166787206,43.8197991473812
18.34624227035912,43.81966463112816
18.34608123596006,43.81948651268601
18.34603984118348,43.81938484757826
18.34529435658243,43.81966625516711
18.34559598856983,43.81964513599437
18.345852004013,43.81972387707655
18.34608691373693,43.81995078738876
18.34617080173822,43.82020493469338
18.34618735050795,43.82036145934784
18.34612766846399,43.82054201259035
18.34597635789175,43.82073937535392
18.34580252420927,43.82086855986293
18.3455360903859,43.82103510216567
18.3447474936824,43.82131622866293
18.34036916529908,43.8229689087765
18.33792611868844,43.82386184961756
RUNWAY_NAME,SARJEVO4
18.33735816344627,43.82277383798122
18.33750156104059,43.82264934248887
18.33779361785218,43.82248320993354
18.33711663301287,43.82272965800505
